Prediction_Id	status	act_status
1776	no data	
1777	known	
1778	known_chembl	
1779	inactive	
1780	no data	
1781	no data	
1782	known	
1783	confirmed	10uM
1784	known	
1785	inactive	
1786	no data	
1787	inactive	
1788	inactive	
1789	no data	
1790	inactive	
1791	inactive	
1792	no data	
1793	no data	
1794	no data	
1795	known_chembl	
1796	inactive	
1797	known	
1798	confirmed	10uM
1799	known_chembl	
1800	inactive	
1801	inactive	
1802	no data	
1803	known	
1804	inactive	
1805	inactive	
1806	no data	
1807	known	
1808	known	
1809	inactive	
1810	no data	
1811	known_chembl	
1812	inactive	
1813	known_chembl	
1814	no data	
1815	no data	
1816	no data	
1817	no data	
1818	known	
1819	known_chembl	
1820	confirmed	1uM
1821	no data	
1822	known	
1823	inactive	
1824	inactive	
1825	inactive	
1826	inactive	
1827	inactive	
1828	known	
1829	known	
1830	no data	
1831	inactive	
1832	inactive	
1833	known_chembl	
1834	confirmed	10uM
1835	inactive	
1836	inactive	
1837	no data	
1838	known_chembl	
1839	no data	
1840	inactive	
1841	no data	
1842	inactive	
1843	inactive	
1844	no data	
1845	inactive	
1846	inactive	
1847	known	
1848	known	
1849	known	
1850	inactive	
1851	no data	
1852	no data	
1853	inactive	
1854	inactive	
1855	known_chembl	
1856	inactive	
1857	no data	
1858	known	
1859	inactive	
1860	inactive	
1861	inactive	
1862	confirmed	10uM
1863	known	
1864	no data	
1865	no data	
1866	known	
1867	known	
1868	known	
1869	inactive	
1870	inactive	
1871	no data	
1872	known	
1873	known_chembl	
1874	no data	
1875	no data	
1876	no data	
1877	no data	
1878	known	
1879	inactive	
